PJMW_MW,Hour,Day,Month,Day_of_Week,Is_Weekend,Lag_1,Lag_24,Lag_48,Lag_168,Rolling_Mean_24,Rolling_Std_24,Rolling_Min_24,Rolling_Max_24
5100.0,1,2,8,3,0,5363.0,5061.0,4847.0,5066.0,5960.541666666667,912.2844702778648,4565.0,7147.0
4840.0,2,2,8,3,0,5100.0,4817.0,4535.0,4818.0,5962.166666666667,910.6457654571,4565.0,7147.0
4745.0,3,2,8,3,0,4840.0,4687.0,4492.0,4694.0,5963.125,909.3994823389118,4565.0,7147.0
4572.0,4,2,8,3,0,4745.0,4588.0,4394.0,4625.0,5965.541666666667,905.9312757871292,4565.0,7147.0
4594.0,5,2,8,3,0,4572.0,4565.0,4471.0,4636.0,5964.875,906.9943345060692,4565.0,7147.0
4826.0,6,2,8,3,0,4594.0,4815.0,4666.0,4850.0,5966.083333333333,905.0655473100036,4572.0,7147.0
5114.0,7,2,8,3,0,4826.0,5135.0,4955.0,5117.0,5966.541666666667,904.4598666399404,4572.0,7147.0
5333.0,8,2,8,3,0,5114.0,5509.0,5159.0,5401.0,5965.666666666667,905.3090592464227,4572.0,7147.0
5597.0,9,2,8,3,0,5333.0,5644.0,5389.0,5693.0,5958.333333333333,909.8704000722056,4572.0,7147.0
5775.0,10,2,8,3,0,5597.0,5846.0,5653.0,5904.0,5956.375,910.6266267032216,4572.0,7147.0
6050.0,11,2,8,3,0,5775.0,6165.0,5936.0,6313.0,5953.416666666667,911.1159863484612,4572.0,7147.0
6152.0,12,2,8,3,0,6050.0,6419.0,6264.0,6693.0,5948.625,910.2568587563964,4572.0,7147.0
6299.0,13,2,8,3,0,6152.0,6614.0,6416.0,7022.0,5937.5,905.8791550081492,4572.0,7147.0
6425.0,14,2,8,3,0,6299.0,6853.0,6559.0,7233.0,5924.375,897.8982130993318,4572.0,7147.0
6492.0,15,2,8,3,0,6425.0,6980.0,6621.0,7446.0,5906.541666666667,882.775661056442,4572.0,7147.0
6627.0,16,2,8,3,0,6492.0,7090.0,6562.0,7597.0,5886.208333333333,862.3593006431892,4572.0,7147.0
6708.0,17,2,8,3,0,6627.0,7113.0,6466.0,7700.0,5866.916666666667,839.1244876638466,4572.0,7147.0
6758.0,18,2,8,3,0,6708.0,7147.0,6480.0,7757.0,5850.041666666667,816.7499473212627,4572.0,7147.0
6693.0,19,2,8,3,0,6758.0,7012.0,6426.0,7631.0,5833.833333333333,793.4194935553525,4572.0,7012.0
6545.0,20,2,8,3,0,6693.0,6816.0,6276.0,7354.0,5820.541666666667,775.2891174134445,4572.0,6816.0
6496.0,21,2,8,3,0,6545.0,6571.0,6250.0,7063.0,5809.25,762.0203837282818,4572.0,6758.0
6325.0,22,2,8,3,0,6496.0,6362.0,6123.0,6895.0,5806.125,758.9081007834801,4572.0,6758.0
5892.0,23,2,8,3,0,6325.0,5881.0,5771.0,6255.0,5804.583333333333,757.766507382156,4572.0,6758.0
5489.0,0,3,8,4,0,5892.0,5363.0,5343.0,5810.0,5805.041666666667,757.8180623208425,4572.0,6758.0
